PU_Borough,PU_Zone,trips,avg_total,avg_tip,avg_distance
Manhattan,Midtown Center,840936,23.95437890636055,3.126143083421171,2.5997829561346153
Manhattan,Upper East Side South,840766,19.782277328054718,2.621997345277755,1.715697780357421
Queens,JFK Airport,830922,80.86017496230674,9.19033158346748,15.942516626109393
Manhattan,Upper East Side North,803844,20.25831362801647,2.6760409482435095,1.8708677803155775
Manhattan,Midtown East,626106,23.329076482256447,3.0624766413353877,2.258899291813191
Manhattan,Times Sq/Theatre District,617808,26.86674277445299,3.353132138139925,2.971886605547338
Manhattan,Penn Station/Madison Sq West,612954,24.10519709472485,3.129165222838854,2.3030591528891238
Manhattan,Lincoln Square East,610800,21.331355893910185,2.82774243614925,2.117784970530435
Queens,LaGuardia Airport,526264,66.36506673457012,8.792843439794478,9.711324582338811
Manhattan,Upper West Side South,518838,21.215503914517257,2.826878331964865,2.2932639089658107
Manhattan,Midtown North,502134,23.5578374696794,3.0619470898206016,2.540501260619651
Manhattan,Murray Hill,485824,23.04036457647213,2.958238580226595,2.22911206527464
Manhattan,East Chelsea,453306,24.735840425672635,3.218616696006674,2.476789321120812
Manhattan,Union Sq,446262,21.78333664977067,2.892262258493896,2.0100877959584196
Manhattan,Clinton East,444480,22.948066549676025,2.826352591792657,2.421980561555072
Manhattan,Lenox Hill West,433026,20.304753155700013,2.5908087736072147,2.7340534286624676
Manhattan,West Village,385710,22.501529750330526,2.990469160768487,2.2325494283269958
Manhattan,Lenox Hill East,385236,22.447917951593226,2.7989438681743857,2.305000311497373
Manhattan,East Village,381636,22.269310914064828,2.829378360532062,2.835029714177906
Manhattan,Midtown South,378504,23.498412909770565,2.964786792213605,2.3370198465538174
Manhattan,Upper West Side North,375156,21.179076384223873,2.7545232383329785,4.20892556696412
Manhattan,Yorkville West,349086,20.39528093363806,2.5908458087693447,2.090567195476171
Manhattan,Gramercy,346122,21.600555411097854,2.7760332483922894,2.1248087090678998
Manhattan,Sutton Place/Turtle Bay North,323508,21.24101413257148,2.7264230869099046,2.0188777402722895
Manhattan,West Chelsea/Hudson Yards,294648,23.955143153864796,3.084828541174622,2.360892318970439
Manhattan,Central Park,284004,22.05846326108055,2.892222926437845,2.158063970929996
Manhattan,Garment District,279984,23.889007157551607,2.790841119492716,2.3991957397565575
Manhattan,Flatiron,271740,22.049120114815324,2.8719198498567153,2.131026054316627
Manhattan,Yorkville East,248220,21.640750060429948,2.724982354363183,2.8232695189751125
Manhattan,Greenwich Village North,236286,21.928604910997404,2.9103488992155286,2.057597572433409
Manhattan,Greenwich Village South,234912,22.57798988557411,2.946156773600437,2.27548554352267
Manhattan,TriBeCa/Civic Center,215268,26.088764702603072,3.318862255421258,3.033951167846592
Manhattan,Lincoln Square West,206610,20.94154813416563,2.635101205169231,2.105064033686654
Manhattan,UN/Turtle Bay South,195714,24.162913332719913,3.0125724271131373,3.8821830834789424
Manhattan,Kips Bay,190852,21.64877056567364,2.4924103493807426,2.276152516085756
Manhattan,Lower East Side,160236,24.815686362615015,3.0012375496143346,2.8488508200404463
Manhattan,Little Italy/NoLiTa,148116,23.70813659564122,2.9101016770639614,2.4780430203353982
Manhattan,Manhattan Valley,141948,21.103884098402293,2.6755875390987995,19.55960816637078
Manhattan,Meatpacking/West Village West,136980,24.476236968900576,3.2171388523872557,2.617660096364417
Manhattan,SoHo,117468,23.868547349065338,3.0311063438553836,4.217102359791617
Manhattan,East Harlem South,104250,21.00040460431677,2.13504230215828,2.4874929496402993
Manhattan,Clinton West,92862,23.320269432060616,2.649087032370611,2.603940040059429
Manhattan,Battery Park City,91938,32.0044580043073,4.205523722508665,4.425870260392892
Manhattan,Hudson Sq,79800,24.01724812030106,3.1334962406015063,2.539930075187963
Manhattan,Morningside Heights,79668,22.838325802078636,2.858561530350954,2.6915115228197033
Manhattan,World Trade Center,74418,31.930828831734324,3.849995968717252,4.257904539224378
Queens,East Elmhurst,71262,64.35183800622976,8.466210322471985,9.51084448934918
Manhattan,Financial District North,69504,32.02375086325969,3.921222375690615,4.438958045580103
Unknown,N/A,57768,27.28964063149154,3.403045284586612,3.311470710427924
Manhattan,Bloomingdale,45756,21.819503015997995,2.7309284028324186,2.4818869656438474
Manhattan,Financial District South,40074,32.97889204970806,3.782621649947592,4.754078454858515
Manhattan,Central Harlem,38082,21.059097211280996,1.8731573971955224,2.6987679218528453
Manhattan,East Harlem North,33288,21.296939437635217,1.6104830569574624,13.501319394376347
Manhattan,Seaport,25470,30.421425206124855,3.6855005889281514,21.325290930506437
Manhattan,Chinatown,21732,28.065477636664834,3.01506350082827,3.5068525676421824
Manhattan,Two Bridges/Seward Park,20490,27.792544655929746,2.8002576866764226,3.5392240117130243
Manhattan,Stuy Town/Peter Cooper Village,20448,23.047711267605607,2.58899354460094,2.5387470657277005
Manhattan,Alphabet City,19512,23.815685731857364,2.545747232472326,32.830476629766295
Manhattan,Central Harlem North,16206,24.69043687523142,1.0671417993335799,3.8906405035172176
Queens,Sunnyside,13452,34.965374665477235,3.0579438001784114,4.605816235504014
Manhattan,Hamilton Heights,12018,26.768477284073924,2.1294957563654515,4.10422366450324
Manhattan,Manhattanville,10704,23.47754484304932,1.9201289237668147,3.361776905829602
Manhattan,Washington Heights South,10176,30.096079009433947,2.3491096698113227,21.63560731132075
Queens,Long Island City/Hunters Point,9072,43.85837962962962,4.370449735449726,4.992136243386243
Queens,Astoria,9012,26.002896138482033,1.510778961384821,4.0129360852197085
Queens,Long Island City/Queens Plaza,7950,24.22835471698115,1.9874415094339637,3.1971018867924523
Brooklyn,Downtown Brooklyn/MetroTech,7764,33.16541731066457,3.00466769706337,5.248809891808343
Brooklyn,Brooklyn Heights,7014,33.35167664670657,3.4783233532934115,66.67000855431996
Brooklyn,Fort Greene,6294,27.88020019065779,2.037187797902765,4.4156625357483374
Brooklyn,Williamsburg (North Side),5718,28.52372507869889,2.407114375655824,4.34788037775446
Brooklyn,Boerum Hill,5556,30.179287257019407,2.3361663066954645,4.981792656587475
Brooklyn,Crown Heights North,5514,31.440457018498368,0.7467682263329704,6.151109902067463
Brooklyn,Park Slope,5346,30.803322109988777,2.525117845117846,5.245173961840631
Queens,Baisley Park,5166,74.61509872241585,7.557317073170714,12.648885017421584
Manhattan,Battery Park,5076,32.3145744680851,3.456371158392437,4.517340425531918
Brooklyn,East New York,5034,34.741704410011884,0.1467222884386174,7.634755661501788
Brooklyn,Williamsburg (South Side),4758,30.26447667087013,2.5355359394703667,4.421324085750317
Queens,Jackson Heights,4236,34.45553824362609,2.272634560906515,5.006883852691216
N/A,Outside of NYC,4206,81.92164051355203,6.340684736091298,9.451141226818839
Queens,Woodside,3948,35.22250759878419,2.897811550151977,4.13516717325228
Brooklyn,Prospect-Lefferts Gardens,3780,30.884238095238132,0.4351269841269842,6.238936507936504
Queens,Jamaica,3744,53.198477564102475,3.604230769230771,9.28959935897435
Brooklyn,DUMBO/Vinegar Hill,3696,33.18764610389612,3.139577922077921,67.04542207792208
Queens,South Ozone Park,3624,63.638874172185545,6.0378973509933775,6.618642384105959
Brooklyn,Canarsie,3600,38.92078333333332,0.27701666666666663,8.814033333333326
Queens,Steinway,3390,47.207132743362855,4.891752212389381,6.020814159292033
Brooklyn,East Williamsburg,3306,35.27546279491835,2.8688021778584387,5.364392014519061
Queens,Queensbridge/Ravenswood,3294,27.915446265938062,1.5254098360655737,4.649380692167579
Queens,Old Astoria,3222,25.82284916201118,1.4840037243947852,4.1397020484171305
Brooklyn,Greenpoint,3198,29.460187617260797,2.5160037523452146,4.483433395872418
Queens,South Jamaica,3156,63.5749239543725,5.470475285171104,11.257091254752856
Brooklyn,Flatbush/Ditmas Park,3024,34.297658730158744,0.7033531746031745,6.878115079365076
Brooklyn,Stuyvesant Heights,2988,31.522269076305214,0.8626907630522089,5.946827309236942
Brooklyn,Cobble Hill,2964,28.970971659919034,3.372044534412957,4.227955465587047
Brooklyn,Brownsville,2928,32.14928278688526,0.07129098360655736,6.718750000000001
Queens,Forest Hills,2850,32.47983157894738,1.2407578947368418,5.858526315789473
Brooklyn,Bushwick South,2814,32.79929637526651,1.2637953091684437,5.732515991471216
Queens,Elmhurst,2766,39.85138828633411,2.8866377440347066,5.017852494577006
Queens,Flushing Meadows-Corona Park,2760,76.7655217391304,8.772913043478267,9.104456521739131
Brooklyn,Clinton Hill,2700,32.14111111111109,1.7353111111111112,5.787577777777777
Brooklyn,Bedford,2676,29.891210762331824,0.9257399103139012,5.181614349775787
Bronx,Mott Haven/Port Morris,2628,34.20326484018263,0.5474429223744294,6.421712328767131
Queens,Richmond Hill,2442,45.025159705159744,2.946265356265356,6.5741523341523305
Queens,Springfield Gardens South,2406,72.99177057356604,6.581172069825439,12.916234413965089
Manhattan,Washington Heights North,2376,33.3696212121212,2.1829040404040407,5.835833333333329
Brooklyn,East Flatbush/Remsen Village,2376,32.9514393939394,0.03497474747474747,6.921818181818183
Brooklyn,Flatlands,2310,32.26654545454546,0.16005194805194806,7.01192207792207
Queens,Briarwood/Jamaica Hills,2238,53.763914209115256,3.976005361930298,8.944423592493308
Bronx,Co-Op City,2172,44.041823204419934,0.15066298342541437,10.486270718232037
Brooklyn,East Flatbush/Farragut,2160,29.105861111111107,0.08691666666666666,8.385999999999987
Brooklyn,Bay Ridge,2070,41.25278260869564,1.1612173913043478,9.07156521739131
Brooklyn,Crown Heights South,2064,30.61078488372091,0.5697674418604651,5.711540697674417
Brooklyn,Carroll Gardens,1962,30.63633027522936,2.980550458715595,255.41602446483174
Brooklyn,Ocean Hill,1944,32.61354938271603,0.27049382716049386,6.808055555555556
Bronx,East Concourse/Concourse Village,1806,31.716910299003292,0.14607973421926912,6.512325581395346
Brooklyn,Prospect Heights,1788,30.846610738255038,2.8006711409395977,4.970771812080539
Queens,Saint Albans,1770,42.87020338983051,0.14423728813559322,10.606508474576273
Brooklyn,Red Hook,1692,55.19138297872341,3.931879432624113,9.726666666666667
Bronx,West Concourse,1668,30.01550359712229,0.4697122302158275,5.5987769784172725
Brooklyn,Coney Island,1656,45.940760869565224,0.17728260869565216,11.95036231884058
Queens,Springfield Gardens North,1644,40.699160583941584,0.6236131386861312,9.20788321167883
Queens,Kew Gardens,1602,55.39621722846439,4.936029962546817,6.472022471910112
Brooklyn,Bushwick North,1566,31.552873563218366,1.293639846743295,5.410000000000001
Queens,Maspeth,1488,50.55572580645161,5.426088709677418,5.612741935483873
Bronx,Soundview/Castle Hill,1488,35.33036290322577,0.12427419354838709,8.09439516129032
Queens,Far Rockaway,1452,53.456033057851265,0.0,14.472148760330576
Bronx,Melrose South,1452,29.86268595041321,0.161900826446281,5.81876033057851
Bronx,Morrisania/Melrose,1434,32.98878661087865,0.04142259414225941,6.496736401673641
Brooklyn,Starrett City,1422,40.10767932489451,0.10970464135021098,8.773037974683541
Queens,Corona,1416,47.43453389830508,3.8050423728813567,6.928093220338983
Bronx,University Heights/Morris Heights,1398,35.268841201716725,0.4342918454935622,7.785150214592269
Brooklyn,Midwood,1338,31.585919282511195,0.1939910313901345,6.642914798206279
Brooklyn,East New York/Pennsylvania Avenue,1326,35.922081447963784,0.028733031674208147,8.284117647058823
Queens,Queens Village,1326,43.4184615384615,0.4763348416289593,11.04307692307692
Manhattan,Inwood,1296,35.72166666666665,1.0567129629629632,7.19777777777778
Queens,Hammels/Arverne,1296,50.3465277777778,0.2288888888888889,13.486851851851846
Queens,Flushing,1266,38.952322274881496,1.2313270142180097,8.050189573459718
Queens,Rego Park,1236,42.60990291262134,3.1227669902912627,6.299611650485438
Brooklyn,Borough Park,1218,33.26330049261082,0.3587192118226601,6.831330049261082
Bronx,Parkchester,1212,36.01247524752473,0.07910891089108912,8.049900990099006
Brooklyn,Sheepshead Bay,1164,42.85371134020617,0.09391752577319587,10.191958762886594
Bronx,Williamsbridge/Olinville,1146,41.6165968586387,0.11319371727748691,9.965549738219892
Brooklyn,Marine Park/Mill Basin,1134,41.02941798941797,1.2396825396825397,9.015978835978835
Brooklyn,Sunset Park West,1098,40.72005464480873,1.9219125683060103,8.550273224043714
Queens,Ridgewood,1092,32.249285714285726,1.54467032967033,5.5490659340659345
Bronx,Mount Hope,1062,31.12079096045197,0.07192090395480227,6.460677966101697
Bronx,East Tremont,1050,34.510285714285715,0.05251428571428571,7.641485714285715
Brooklyn,Erasmus,1044,32.08867816091953,0.3331609195402299,6.104367816091957
Brooklyn,Cypress Hills,1038,35.11601156069364,0.7814450867052024,7.377861271676303
Queens,Rosedale,1026,46.98105263157893,1.235672514619883,10.206666666666669
Bronx,Van Nest/Morris Park,1020,34.556235294117634,0.3510588235294118,7.486058823529413
Bronx,Bedford Park,978,40.42435582822085,0.22650306748466262,9.46552147239264
Queens,Hillcrest/Pomonok,966,32.052484472049684,0.5260248447204969,6.518447204968946
Bronx,Claremont/Bathgate,918,33.98392156862744,0.03274509803921568,7.035032679738558
Queens,Woodhaven,894,36.90557046979862,0.2793959731543624,7.715503355704699
Bronx,Highbridge,876,32.36849315068495,0.5513698630136986,6.5785616438356165
Queens,Jamaica Estates,870,36.916,0.21489655172413794,8.901310344827582
Brooklyn,Gowanus,858,32.65811188811188,2.0174125874125868,6.0595104895104885
Brooklyn,Bensonhurst West,846,37.186382978723394,0.3630496453900709,7.733404255319145
Brooklyn,Brighton Beach,846,45.169787234042545,0.13354609929078012,10.878297872340427
Queens,Elmhurst/Maspeth,846,38.13546099290779,2.6779432624113473,5.493191489361701
Bronx,Van Cortlandt Village,834,38.43841726618704,0.054244604316546756,8.850791366906476
Brooklyn,Homecrest,828,35.00782608695652,0.2088405797101449,8.001449275362322
Queens,Laurelton,816,44.369852941176454,0.30470588235294116,11.443897058823527
Brooklyn,South Williamsburg,798,30.463458646616537,1.53812030075188,5.3518045112781945
Bronx,Spuyten Duyvil/Kingsbridge,780,55.206384615384636,0.7096923076923076,8.858
Bronx,Norwood,750,41.493439999999985,0.15632,10.019759999999998
Brooklyn,Bensonhurst East,732,36.46040983606558,0.6603278688524591,7.802704918032785
Manhattan,Roosevelt Island,720,34.96341666666667,2.833166666666668,5.695583333333332
Queens,Kew Gardens Hills,714,39.00470588235294,0.7215966386554622,7.885966386554622
Bronx,Kingsbridge Heights,708,37.01177966101695,0.21796610169491523,8.303135593220336
Bronx,West Farms/Bronx River,702,32.84649572649573,0.11923076923076924,7.3492307692307675
Queens,Cambria Heights,702,46.58641025641025,0.28991452991453,10.930427350427351
Bronx,Eastchester,678,41.35849557522124,0.0,9.673539823008852
Queens,Howard Beach,666,49.80846846846845,1.9757657657657657,9.705495495495494
Brooklyn,Madison,660,35.89854545454546,0.0,8.114272727272725
Brooklyn,Gravesend,654,44.64522935779817,0.22036697247706427,11.09697247706422
Brooklyn,Kensington,654,32.851467889908264,1.0695412844036698,6.701376146788989
Bronx,Soundview/Bruckner,648,34.20166666666668,0.0,7.912500000000003
Bronx,Pelham Parkway,648,31.99740740740741,0.24166666666666667,6.43814814814815
Bronx,Belmont,624,37.73701923076924,0.13903846153846158,8.591826923076926
Bronx,Crotona Park East,618,32.69669902912622,0.02912621359223301,7.245533980582524
Bronx,Bronxdale,618,36.97291262135923,0.0,8.500582524271843
Bronx,Woodlawn/Wakefield,588,43.88785714285715,0.0,10.70010204081632
Brooklyn,Sunset Park East,576,35.20947916666668,0.3972916666666666,7.187604166666666
Brooklyn,Dyker Heights,564,43.00648936170214,1.2164893617021275,8.918191489361705
Bronx,Schuylerville/Edgewater Park,552,39.90695652173914,0.6155434782608696,9.16934782608696
Queens,Ozone Park,540,36.760000000000005,1.1554444444444445,6.834666666666666
Manhattan,Randalls Island,534,69.48179775280894,7.593707865168541,5.735617977528088
Bronx,Westchester Village/Unionport,534,32.96224719101124,0.26033707865168537,7.215393258426965
Bronx,Longwood,528,33.9221590909091,0.09090909090909091,7.022272727272723
Bronx,Hunts Point,504,33.5575,0.4019047619047619,6.979166666666669
Bronx,Allerton/Pelham Gardens,492,45.22670731707318,0.24963414634146341,9.669999999999996
Bronx,Riverdale/North Riverdale/Fieldston,492,38.35914634146341,0.07097560975609757,9.335487804878053
Bronx,Fordham South,486,33.25753086419754,0.061604938271604945,7.144197530864198
Queens,Middle Village,468,43.722435897435915,2.928717948717949,6.907307692307689
Queens,Rockaway Park,414,47.560579710144914,0.014492753623188406,12.97942028985507
Brooklyn,Manhattan Beach,414,44.44304347826087,1.4356521739130435,10.038115942028984
Queens,Glendale,396,31.44348484848485,2.021666666666667,5.4836363636363625
Queens,Bellerose,396,43.732272727272736,1.3336363636363633,9.431363636363638
Queens,Bayside,396,38.82439393939395,1.6075757575757577,8.56090909090909
Brooklyn,Windsor Terrace,390,34.76938461538462,1.2973846153846158,7.482153846153844
Queens,Hollis,384,37.196875,0.0,8.328437500000001
Queens,North Corona,366,32.9244262295082,1.2186885245901642,6.310655737704919
Queens,Whitestone,354,43.39372881355933,2.829491525423728,7.813898305084744
Queens,Queensboro Hill,354,34.50254237288136,0.760677966101695,6.949322033898305
Queens,Murray Hill-Queens,348,36.368448275862086,0.0,7.734310344827585
Queens,Fresh Meadows,342,39.66105263157896,0.9570175438596492,8.700175438596492
Brooklyn,Brooklyn Navy Yard,324,31.48203703703704,1.6398148148148146,5.736666666666667
Brooklyn,Bath Beach,324,41.24981481481482,1.2964814814814816,8.958888888888891
Brooklyn,Ocean Parkway South,318,34.3377358490566,0.3835849056603774,6.756792452830189
Brooklyn,Columbia Street,312,43.32980769230768,3.358076923076923,6.648653846153847
Brooklyn,Marine Park/Floyd Bennett Field,312,38.25980769230769,4.631923076923078,6.149230769230768
EWR,Newark Airport,300,97.20080000000002,10.359200000000001,5.998800000000001
Queens,Auburndale,288,34.35687500000001,0.659375,7.430625
Queens,Oakland Gardens,282,34.97744680851064,0.0,8.313617021276597
Brooklyn,Prospect Park,264,30.777045454545437,2.0977272727272727,4.796136363636364
Manhattan,Marble Hill,258,33.93372093023255,1.054186046511628,7.6509302325581405
Queens,Saint Michaels Cemetery/Woodside,258,49.26697674418604,6.332325581395348,5.444651162790697
Queens,Douglaston,258,39.729069767441864,0.7672093023255814,8.22906976744186
Queens,Glen Oaks,240,39.30174999999999,0.33075000000000004,9.368
Queens,East Flushing,222,38.32648648648649,0.5210810810810811,8.044324324324323
Queens,College Point,222,45.907567567567575,1.7748648648648653,8.801621621621623
Bronx,Pelham Bay,222,41.472432432432434,0.0,10.49486486486487
Queens,Bay Terrace/Fort Totten,192,40.190000000000005,0.93125,8.495
Manhattan,Inwood Hill Park,120,41.4135,1.16,8.682500000000001
Staten Island,Arrochar/Fort Wadsworth,114,38.38947368421053,2.032105263157895,3.8521052631578945
Bronx,Van Cortlandt Park,102,41.656470588235294,0.0,10.211176470588235
Manhattan,Highbridge Park,78,58.788461538461526,5.206153846153847,4.686153846153847
Queens,Astoria Park,66,88.62545454545455,11.445454545454545,9.934545454545455
Queens,Forest Park/Highland Park,66,52.468181818181826,6.033636363636364,6.470909090909092
Queens,Willets Point,66,41.085454545454546,0.2727272727272727,6.716363636363637
Bronx,City Island,42,40.56285714285715,0.0,10.285714285714286
Queens,Breezy Point/Fort Tilden/Riis Beach,36,46.001666666666665,0.0,8.65
Bronx,Country Club,30,54.236000000000004,5.778,10.052
Bronx,Bronx Park,30,45.25,0.0,12.384000000000002
Staten Island,Saint George/New Brighton,24,59.967499999999994,0.0,10.5
Staten Island,Heartland Village/Todt Hill,24,125.88999999999999,1.25,18.477500000000003
Staten Island,South Beach/Dongan Hills,24,35.6525,0.0,9.3175
Queens,Jamaica Bay,18,59.53,5.933333333333334,12.756666666666664
Queens,Broad Channel,18,36.650000000000006,0.0,11.5
Staten Island,Bloomfield/Emerson Hill,12,15.200000000000001,0.0,2.15
Staten Island,New Dorp/Midland Beach,12,100.0,21.81,18.060000000000002
Staten Island,Oakwood,12,61.525,5.0,13.245
Bronx,Crotona Park,12,51.720000000000006,0.0,12.475000000000001
Staten Island,Westerleigh,12,73.29,12.299999999999999,15.025
Bronx,Pelham Bay Park,12,39.5,0.0,9.9
Staten Island,Grymes Hill/Clifton,12,47.585,1.845,10.729999999999999
Staten Island,Charleston/Tottenville,6,354.23,58.75,57.199999999999996
Manhattan,Governor's Island/Ellis Island/Liberty Island,6,18.48,3.08,1.41
Staten Island,Great Kills,6,111.48,18.58,16.06
Staten Island,West Brighton,6,5.8999999999999995,0.0,0.34
Staten Island,Rossville/Woodrow,6,77.71,0.0,29.579999999999995
Bronx,Rikers Island,6,10.9,0.0,0.39999999999999997
Staten Island,Stapleton,6,1.0,0.0,0.39999999999999997
Staten Island,Mariners Harbor,6,58.0,0.0,12.92
Brooklyn,Green-Wood Cemetery,6,90.0,0.0,5.3
